memberID,groupID,joinDate,gradDate
9001,9002,1995/9/16,
9002,9003,1992/9/14,
9003,9003,2000/9/6,
9004,9003,2014/12/2,
9005,9003,2014/12/2,
9006,9003,2016/9/18,
9007,9003,2017/6/12,
9008,9003,2020/11/22,
9009,9001,2005/8/16,
9010,9001,2005/7/5,
9011,9001,2018/8/14,
